id;parent_id;org_type;org_code;org_name;org_level;db_name;db_schema;province_id;status;org_address;hospital_code
1;9;4;Sleek Beauty Auto Loan Account;deposit;extend Unbranded Fresh Pants Tools;Practical North Dakota;implementation;2;6;stable Utah Computers;Licensed P
2;6;1;South Georgia and the South Sandwich Islands;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;redundant;3;5;bypass Ameliorated;Brand
3;9;3;Som Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;2;8;Garden;Small
4;1;1;JBOD;Shoes Music connect;Hollow Shoes systems;Generic Frozen Tuna HTTP;implement;7;10;Cambridgeshire Norfolk Island;Soap Tasty
5;6;4;multi-byte Jamaican Dollar North Carolina;Station;parsing Investment Account;Branding Dynamic black;yellow;4;1;Generic;robust wit
6;7;1;open-source hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;10;8;Cotton Robust;user-centr
7;9;2;Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;4;4;Quality Applications Missouri;Practical 
8;7;2;Danish Krone parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined;1;5;Centralized revolutionize International;Sleek
9;1;2;Maine PCI SAS;Interactions;Pennsylvania dynamic bandwidth;navigate Oklahoma;Triple-buffered array;5;5;Tools;Arizona ha
10;8;1;payment synthesize Idaho;seize Glen Refined;Mandatory Assistant;Strategist;Incredible Fresh Car Tuvalu;10;10;Optional;Associate 
